idx,t_sec,x,y,yaw_rad,rgb_file,depth_file,ir_left_file,ir_right_file
0,1776216026.427065,0.624605,-0.097154,-1.356852422,rgb/000000.png,depth_aligned_mm/000000.png,ir_left/000000.png,ir_right/000000.png
1,1776216035.434297,0.645826,-0.176187,-1.273540765,rgb/000001.png,depth_aligned_mm/000001.png,ir_left/000001.png,ir_right/000001.png
2,1776216041.104471,0.660573,-0.228966,-1.332543442,rgb/000002.png,depth_aligned_mm/000002.png,ir_left/000002.png,ir_right/000002.png
3,1776216046.374990,0.681063,-0.305519,-1.341703647,rgb/000003.png,depth_aligned_mm/000003.png,ir_left/000003.png,ir_right/000003.png
4,1776216051.445434,0.702425,-0.384251,-1.307595119,rgb/000004.png,depth_aligned_mm/000004.png,ir_left/000004.png,ir_right/000004.png
5,1776216062.119750,0.729114,-0.459634,-1.275220620,rgb/000005.png,depth_aligned_mm/000005.png,ir_left/000005.png,ir_right/000005.png
6,1776216067.256731,0.735634,-0.527060,-1.331334798,rgb/000006.png,depth_aligned_mm/000006.png,ir_left/000006.png,ir_right/000006.png
7,1776216073.528065,0.754551,-0.581980,-1.372226051,rgb/000007.png,depth_aligned_mm/000007.png,ir_left/000007.png,ir_right/000007.png
8,1776216078.930842,0.767400,-0.656921,-1.407679062,rgb/000008.png,depth_aligned_mm/000008.png,ir_left/000008.png,ir_right/000008.png
9,1776216083.732255,0.776329,-0.711512,-1.376160056,rgb/000009.png,depth_aligned_mm/000009.png,ir_left/000009.png,ir_right/000009.png
10,1776216089.069529,0.782575,-0.787999,-1.376951735,rgb/000010.png,depth_aligned_mm/000010.png,ir_left/000010.png,ir_right/000010.png
11,1776216098.346515,0.786647,-0.833537,-1.402687951,rgb/000011.png,depth_aligned_mm/000011.png,ir_left/000011.png,ir_right/000011.png
12,1776216103.482905,0.787781,-0.900937,-1.436991662,rgb/000012.png,depth_aligned_mm/000012.png,ir_left/000012.png,ir_right/000012.png
13,1776216109.754244,0.787594,-0.965469,-1.476635005,rgb/000013.png,depth_aligned_mm/000013.png,ir_left/000013.png,ir_right/000013.png
