# timestamp tx ty tz qx qy qz qw
1770106621931724854 -0.010397 0.001106 -0.020987 -0.001388 0.000211 0.000422 0.999999
1770106622319435059 0.006825 0.001890 0.013464 -0.001837 -0.002299 -0.001443 0.999995
1770106622708593750 0.001983 0.001772 0.003532 -0.001327 -0.001601 -0.002276 0.999995
1770106623036837646 0.005279 0.000797 0.002485 -0.000115 -0.000749 0.000001 1.000000
1770106623438476807 0.010389 -0.009246 -0.004429 -0.001645 -0.001729 -0.000315 0.999997
1770106623774704102 0.007331 -0.003437 -0.000283 -0.000746 -0.001247 -0.000107 0.999999
1770106624117654053 0.011891 -0.003545 0.001992 -0.000827 -0.002012 -0.000006 0.999998
1770106624534420898 0.018674 -0.008821 -0.005917 -0.001590 -0.003141 -0.000160 0.999994
1770106624884331299 0.017618 -0.007899 -0.004487 -0.001448 -0.002975 -0.000171 0.999995
1770106625239562500 0.013618 -0.006046 -0.005499 -0.001125 -0.002198 -0.000407 0.999997
1770106625670155029 0.020444 -0.007474 -0.002486 -0.001396 -0.003350 0.000179 0.999993
1770106626033373291 0.015995 -0.004680 -0.003480 -0.000919 -0.002713 -0.000149 0.999996
1770106626476296143 0.049158 -0.025001 -0.071144 -0.003107 -0.025127 0.004415 0.999670
1770106626850135742 0.056198 -0.025143 -0.024065 -0.004281 -0.034499 -0.006902 0.999372
1770106627227891846 0.099546 -0.028335 0.006215 -0.002976 0.044054 -0.008560 0.998988
1770106627687965820 0.091025 -0.020854 0.081229 -0.000215 0.093409 -0.011192 0.995565
1770106628077256836 0.085171 -0.032977 0.093304 -0.000870 0.116854 -0.007512 0.993120
1770106628541556152 0.083737 -0.024273 0.126917 0.000936 0.128669 -0.007577 0.991658
1770106628934755371 0.084653 -0.037733 0.167928 0.000598 0.142029 -0.005604 0.989846
1770106629332876709 0.082115 -0.036142 0.184301 0.001473 0.148984 -0.004124 0.988830
1770106629817512695 0.078404 -0.033609 0.219001 0.001846 0.156723 -0.004468 0.987631
1770106630229425049 0.087239 -0.039338 0.256146 0.001689 0.159995 -0.002974 0.987112
1770106630677478027 0.080938 -0.040786 0.318903 0.001289 0.165872 -0.004682 0.986135
1770106631096310791 0.166430 -0.046261 0.397220 0.000175 0.149327 0.000391 0.988788
1770106631445409912 0.213548 -0.038593 0.439424 0.001172 0.123765 0.001445 0.992310
1770106631863512451 0.233347 -0.028797 0.511837 0.001209 0.100762 0.003056 0.994905
1770106632211776611 0.315993 -0.013465 0.599844 0.000739 0.066951 0.009634 0.997709
1770106632560054443 0.279204 0.003420 0.700729 0.001208 0.051562 0.005366 0.998655
1770106632978542969 0.364729 -0.014110 0.744205 -0.002182 0.026462 0.007539 0.999619
