idx,ts_system,world_frame,base_frame,x,y,z,qx,qy,qz,qw,yaw_rad,basename,original_timestamp
0,0.000000000,map3d,camera,0.000057690,0.000329546,-0.001643898,-0.000042629563,0.000184728765,0.000029712834,0.999999981588,0.000059409921,000000,0.000000000
1,1.000000000,map3d,camera,0.007812500,-0.003540039,0.099609375,-0.000464927737,-0.017268097570,-0.000808510980,0.999850460298,-0.001601679241,000001,0.797966675
2,2.000000000,map3d,camera,-0.004211426,-0.000823975,0.145507812,0.000252534890,0.004518219520,0.000269997758,0.999989724457,0.000542294150,000002,1.595933351
3,3.000000000,map3d,camera,-0.016601562,-0.001342773,0.210937500,0.000386955535,0.039952470875,-0.000132745367,0.999201497554,-0.000235109648,000003,2.393900026
4,4.000000000,map3d,camera,-0.009942086,-0.001655921,0.295232981,0.000838964728,0.021604621109,-0.000222232009,0.999766216222,-0.000408490431,000004,3.191866701
5,5.000000000,map3d,camera,-0.005737305,0.000293732,0.380859375,0.001130446120,0.007594442397,-0.000367956845,0.999970455136,-0.000718804717,000005,3.989833377
6,6.000000000,map3d,camera,-0.007564027,-0.000939160,0.456236184,0.001333072549,0.010897701787,-0.001291699726,0.999938895396,-0.002554796523,000006,4.787800052
7,7.000000000,map3d,camera,-0.014160156,-0.003250122,0.496093750,0.000673247458,0.041158417552,0.000107856323,0.999152400672,0.000271870514,000007,5.585766727
8,8.000000000,map3d,camera,-0.027362943,-0.007108356,0.566200137,0.001139167323,0.090375513718,0.000261479763,0.995907074202,0.000738793256,000008,6.383733403
9,9.000000000,map3d,camera,-0.007060694,-0.007454638,0.636129141,0.000099818413,0.067797792198,0.000032738844,0.997699077046,0.000079593675,000009,7.181700078
10,10.000000000,map3d,camera,0.004969759,-0.007030391,0.725342393,-0.001668937637,0.046714767151,-0.000412301211,0.998906790038,-0.000983923415,000010,7.979666753
11,11.000000000,map3d,camera,0.005363949,-0.007643958,0.766918838,-0.001772875821,0.056440868837,-0.000182935707,0.998404352840,-0.000569038317,000011,8.777633429
12,12.000000000,map3d,camera,0.010574188,-0.008386425,0.840101004,-0.001787797214,0.070016383650,-0.000080064931,0.997544236308,-0.000414147339,000012,9.575600104
13,13.000000000,map3d,camera,0.018111920,-0.006010647,0.912942946,-0.001803522084,0.083936546473,0.000193213423,0.996469450682,0.000083475956,000013,10.373566779
14,14.000000000,map3d,camera,0.023943851,-0.009115679,0.972339153,-0.000739244318,0.112910121715,-0.000207738104,0.993604908793,-0.000594924538,000014,11.171533455
15,15.000000000,map3d,camera,0.033795692,-0.008869265,1.048358202,-0.000907253362,0.140772247956,0.000391837965,0.990041513049,0.000541917809,000015,11.969500130
16,16.000000000,map3d,camera,0.055613063,-0.006677227,1.116163969,-0.000150684163,0.163554705203,-0.000067071123,0.986534252422,-0.000191892427,000016,12.767466805
17,17.000000000,map3d,camera,0.058296151,-0.007408977,1.155190706,0.000220066991,0.170837404144,-0.000382975719,0.985299135413,-0.000721621699,000017,13.565433481
18,18.000000000,map3d,camera,0.078438163,-0.007927092,1.216928959,0.001207682756,0.142160313537,0.000210931036,0.989842887667,0.000792998495,000018,14.363400156
19,19.000000000,map3d,camera,0.112689629,-0.005274704,1.295686841,-0.000295511189,0.105498871756,-0.000235871464,0.994419350725,-0.000543562207,000019,15.161366831
20,20.000000000,map3d,camera,0.119128957,-0.006460687,1.350047946,-0.000191398745,0.104845341228,-0.000191905003,0.994488502177,-0.000431311603,000020,15.959333506
21,21.000000000,map3d,camera,0.128971696,-0.008359850,1.421955228,0.001239604869,0.129172892966,0.000168041385,0.991621298110,0.000676074946,000021,16.757300182
22,22.000000000,map3d,camera,0.146095052,-0.007183887,1.499160767,0.000976985201,0.131257671805,-0.000068214086,0.991347801954,0.000125552002,000022,17.555266857
23,23.000000000,map3d,camera,0.167373180,-0.007648859,1.585912108,0.001134064232,0.119138668323,-0.000248150017,0.992876946066,-0.000229045228,000023,18.353233532
24,24.000000000,map3d,camera,0.197261274,-0.010927175,1.707040906,0.000361136555,0.101621013016,0.000471004321,0.994823008102,0.001031841397,000024,19.151200208
25,25.000000000,map3d,camera,0.223602682,-0.009104511,1.825862408,0.000191731393,0.087985841430,-0.000051812329,0.996121705547,-0.000070576209,000025,19.949166883
26,26.000000000,map3d,camera,0.232222557,-0.010185353,1.919513345,0.001707573247,0.141040247673,0.001126245320,0.990001749646,0.002823994521,000026,20.747133558
27,27.000000000,map3d,camera,0.229854092,-0.013151832,1.971068382,0.002162806287,0.186534713653,0.001438632593,0.982444936476,0.003905408116,000027,21.545100234
28,28.000000000,map3d,camera,0.264917195,-0.010978499,2.030812740,0.002674444384,0.142893756392,0.000846819022,0.989734057527,0.002544482099,000028,22.343066909
29,29.000000000,map3d,camera,0.287488073,-0.013868992,2.099607468,0.002315591785,0.126752508126,0.001358380567,0.991930740788,0.003390807733,000029,23.141033584
30,30.000000000,map3d,camera,0.309907526,-0.014120756,2.191278934,0.002028635086,0.133872577144,0.001307085681,0.990995615155,0.003250292252,000030,23.939000260
31,31.000000000,map3d,camera,0.334496737,-0.014993113,2.288970470,0.002628359635,0.141427405495,0.001470598182,0.989944047935,0.003807370664,000031,24.736966935
32,32.000000000,map3d,camera,0.364224285,-0.015191087,2.394361496,0.002923766951,0.141927931339,0.001450851987,0.989871612342,0.003857654266,000032,25.534933610
33,33.000000000,map3d,camera,0.407449752,-0.014917816,2.540606499,0.003158059356,0.124851573147,0.001812804321,0.992168748290,0.004526923334,000033,26.332900286
34,34.000000000,map3d,camera,0.419278383,-0.017269365,2.658471107,0.004129765648,0.178025598857,0.002343832780,0.984014399099,0.006494805456,000034,27.130866961
35,35.000000000,map3d,camera,0.453612447,-0.020441104,2.745764971,0.003477293373,0.144856368653,0.001178697436,0.989445881069,0.003486232791,000035,27.928833636
36,36.000000000,map3d,camera,0.488166213,-0.021463621,2.833626986,0.003317970828,0.118323354318,0.001425951717,0.992968550134,0.003721233363,000036,28.726800312
37,37.000000000,map3d,camera,0.497328520,-0.020405261,2.913548946,0.004791639653,0.147467368540,0.001260355757,0.989054511596,0.004083957935,000037,29.524766987
38,38.000000000,map3d,camera,0.520366251,-0.021083234,3.006631374,0.003851312764,0.183179003247,0.002831529897,0.983067954212,0.007480104724,000038,30.322733662
39,39.000000000,map3d,camera,0.537934601,-0.024546258,3.068136692,0.005008060804,0.197114190054,0.002731633690,0.980363939353,0.007947888904,000039,31.120700338
40,40.000000000,map3d,camera,0.587671340,-0.024576148,3.145776749,0.003660508688,0.105990408789,0.000942288836,0.994359968026,0.002710810859,000040,31.918667013
41,41.000000000,map3d,camera,0.601796567,-0.022058923,3.214370728,0.003517352067,0.121307777210,0.001378372885,0.992607753098,0.003698582789,000041,32.716633688
42,42.000000000,map3d,camera,0.597122192,-0.024935856,3.289958715,0.004846056111,0.189724979139,0.001590566293,0.981824026050,0.005347069565,000042,33.514600364
43,43.000000000,map3d,camera,0.630281568,-0.025424220,3.341352701,0.004590958743,0.138450698613,0.001781061139,0.990357084577,0.004990322707,000043,34.312567039
44,44.000000000,map3d,camera,0.658288836,-0.024629537,3.423329830,0.003518396929,0.124394949273,0.001133793224,0.992225897662,0.003225108391,000044,35.110533714
45,45.000000000,map3d,camera,0.674145818,-0.026685730,3.513859987,0.004238148068,0.140339265740,0.001176432442,0.990093704959,0.003663410838,000045,35.908500390
